S.No,District,Indigenous Cases till 25.05.2022,Indigenous Cases on 26.05.2022,Imported Cases till 25.05.2022,Imported Cases on 26.05.2022,Total cases till 26.05.2022
1,Ariyalur,19863,0,20,0,19883
2,Chengalpattu,235806,15,5,0,235826
3,Chennai,752268,33,48,0,752349
4,Coimbatore,329989,3,51,0,330043
5,Cuddalore,74065,0,203,0,74268
6,Dharmapuri,35976,0,216,0,36192
7,Dindigul,37403,0,77,0,37480
8,Erode,132582,0,94,0,132676
9,Kallakurichi,36118,0,404,0,14461
10,Kancheepuram,94448,3,4,0,94457
11,Kanniyakumari,86110,0,126,0,86236
12,Karur,29711,0,47,0,29758
13,Krishnagiri,59397,1,244,0,59642
14,Madurai,90880,3,174,0,91054
15,Mayiladuthurai,26459,0,39,0,26498
16,Nagapattinam,25389,0,54,0,25443
17,Namakkal,67898,0,112,0,68010
18,Nilgiris,42091,0,44,0,42135
19,Perambalur,14458,0,3,0,14461
20,Pudukkottai,34438,0,35,0,34473
21,Ramanathapuram,24547,0,135,0,24682
22,Ranipet,53882,0,49,0,53931
23,Salem,126963,0,438,0,127401
24,Sivaganga,23721,0,117,0,23838
25,Tenkasi,32688,0,58,0,32746
26,Thanjavur,92146,0,22,0,92168
27,Theni,50558,0,45,0,50603
28,Thoothukudi,64695,0,275,0,64970
29,Tiruchirappalli,94897,0,75,0,94972
30,Tirunelveli,62348,0,427,0,62775
31,Tirupathur,35620,0,118,0,35738
32,Tiruppur,129924,0,16,0,129940
33,Tiruvallur,147517,2,10,0,147529
34,Tiruvannamalai,66415,0,399,0,66814
35,Tiruvarur,47979,0,38,0,48017
36,Vellore,54997,0,2326,0,57323
37,Villupuram,54414,0,174,0,54588
38,Virudhunagar,56736,0,104,0,56840
39,Airport Surveillance (International),0,0,1276,0,1276
40,Airport Surveillance (Domestic),0,0,1114,0,1114
41,Railway Surveillance,0,0,428,0,428
Total,Grand Total,3445396,59,9644,0,3455099
